step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
0,'C1891401770','4','F','28007','M480139044','28007','es_health',266.59,0
0,'C715527139','1','M','28007','M480139044','28007','es_health',44.14,0
0,'C1560259762','3','F','28007','M480139044','28007','es_health',248.42,0
0,'C1825851538','4','F','28007','M480139044','28007','es_health',55.82,0
0,'C1199767081','3','F','28007','M480139044','28007','es_health',50.88,0
0,'C311188483','5','M','28007','M480139044','28007','es_health',83.93,0
0,'C913841043','3','F','28007','M480139044','28007','es_health',200.36,0
0,'C1211514218','3','M','28007','M480139044','28007','es_health',143.07,0
0,'C1940107136','2','F','28007','M480139044','28007','es_health',67.38,0
0,'C1387946894','6','M','28007','M480139044','28007','es_health',102.91,0
0,'C2082187659','2','M','28007','M480139044','28007','es_health',199.43,0
0,'C805469502','3','M','28007','M480139044','28007','es_health',74.93,0
0,'C922544599','3','F','28007','M480139044','28007','es_health',112.45,0
0,'C962830776','2','M','28007','M480139044','28007','es_health',12.39,0
0,'C858160484','0','M','28007','M480139044','28007','es_health',9.27,0
0,'C510046708','6','F','28007','M480139044','28007','es_health',204.21,0
0,'C1964602402','4','M','28007','M480139044','28007','es_health',234.92,0
0,'C1545977603','6','M','28007','M480139044','28007','es_health',235.29,0
0,'C717773873','2','M','28007','M480139044','28007','es_health',99.2,0
1,'C417267123','2','F','28007','M480139044','28007','es_health',28.24,0
1,'C1648096390','5','M','28007','M480139044','28007','es_health',76.08,0
1,'C1461183743','2','F','28007','M480139044','28007','es_health',91.53,0
1,'C192974759','1','F','28007','M480139044','28007','es_health',16.33,0
1,'C692285338','4','F','28007','M480139044','28007','es_health',183.47,0
1,'C1214828746','2','F','28007','M480139044','28007','es_health',59.18,0
1,'C1203244235','3','F','28007','M480139044','28007','es_health',151.84,0
1,'C1690923384','6','F','28007','M480139044','28007','es_health',100.19,0
1,'C1835412106','2','F','28007','M480139044','28007','es_health',27.38,0
1,'C1192557067','1','F','28007','M480139044','28007','es_health',76.39,0
1,'C95356','1','M','28007','M480139044','28007','es_health',62.77,0
2,'C514238360','4','M','28007','M480139044','28007','es_health',9.11,0
2,'C1194290880','2','M','28007','M480139044','28007','es_health',163.53,0
2,'C1023694383','6','F','28007','M480139044','28007','es_health',74.33,0
2,'C707360147','4','F','28007','M480139044','28007','es_health',24.57,0
2,'C954636025','3','M','28007','M480139044','28007','es_health',111.87,0
2,'C1895615571','3','M','28007','M480139044','28007','es_health',133.78,0
2,'C609359335','2','F','28007','M480139044','28007','es_health',60.72,0
2,'C1732568163','4','F','28007','M480139044','28007','es_health',8.32,0
2,'C533940472','3','M','28007','M480139044','28007','es_health',138.01,0
2,'C1896147467','2','F','28007','M480139044','28007','es_health',171.62,0
2,'C869807132','1','F','28007','M480139044','28007','es_health',6.37,0
2,'C632643861','2','F','28007','M480139044','28007','es_health',234.82,0
2,'C1827713539','4','M','28007','M480139044','28007','es_health',113.82,0
2,'C1903013338','3','M','28007','M480139044','28007','es_health',41.35,0
2,'C2137381129','1','M','28007','M480139044','28007','es_health',380.78,0
2,'C1466730207','4','F','28007','M480139044','28007','es_health',48.35,0
2,'C1329920992','5','M','28007','M480139044','28007','es_health',175.4,0
2,'C1495486273','5','M','28007','M480139044','28007','es_health',95.89,0
2,'C1253245889','3','M','28007','M480139044','28007','es_health',131.92,0
2,'C521595859','2','F','28007','M480139044','28007','es_health',17.17,0
2,'C897612698','4','M','28007','M480139044','28007','es_health',56.97,0
2,'C2095975270','5','F','28007','M480139044','28007','es_health',56.24,0
2,'C1036903280','4','F','28007','M480139044','28007','es_health',88.42,0
2,'C345996643','2','M','28007','M480139044','28007','es_health',405.9,0
2,'C1005806982','4','M','28007','M480139044','28007','es_health',99.15,0
2,'C1647495093','3','M','28007','M480139044','28007','es_health',4.56,0
2,'C1386324281','2','M','28007','M480139044','28007','es_health',55.21,0
2,'C1915276731','3','M','28007','M480139044','28007','es_health',206.3,0
3,'C741739992','2','F','28007','M480139044','28007','es_health',67.97,0
3,'C1777502922','2','F','28007','M480139044','28007','es_health',67.32,0
3,'C1114685649','3','M','28007','M480139044','28007','es_health',48.54,0
3,'C1754160937','4','F','28007','M480139044','28007','es_health',158.82,0
3,'C1602648292','4','F','28007','M480139044','28007','es_health',73.93,0
3,'C144783459','3','M','28007','M480139044','28007','es_health',209.5,0
3,'C560478089','3','F','28007','M480139044','28007','es_health',99.16,0
3,'C422403315','0','F','28007','M480139044','28007','es_health',168.94,0
3,'C1720679886','2','F','28007','M480139044','28007','es_health',101.97,0
3,'C1156399058','5','M','28007','M480139044','28007','es_health',97.19,0
3,'C1540577903','2','F','28007','M480139044','28007','es_health',189.21,0
3,'C1850482225','4','M','28007','M480139044','28007','es_health',134.17,0
3,'C497553923','1','F','28007','M480139044','28007','es_health',84.55,0
3,'C1564636486','5','M','28007','M480139044','28007','es_health',109.7,0
3,'C2138532527','5','M','28007','M480139044','28007','es_health',22.59,0
3,'C2059060401','2','M','28007','M480139044','28007','es_health',158.66,0
3,'C1125132707','3','F','28007','M480139044','28007','es_health',36.35,0
3,'C899638721','2','F','28007','M480139044','28007','es_health',84.84,0
3,'C90150703','2','F','28007','M480139044','28007','es_health',20.7,0
3,'C521595859','2','F','28007','M480139044','28007','es_health',5.5,0
4,'C451189693','6','F','28007','M480139044','28007','es_health',63.13,0
4,'C967677653','4','F','28007','M480139044','28007','es_health',89.36,0
4,'C1069635670','4','F','28007','M480139044','28007','es_health',124.61,0
